na_symbol,exchange,na_name,na_status,na_lot,na_etf,standardized_symbol
AACB,XNAS,Artius II Acquisition Inc. - Class A Ordinary Shares,Normal,100,N,AACB
AACBR,XNAS,Artius II Acquisition Inc. - Rights,Normal,100,N,AACBR
AACBU,XNAS,Artius II Acquisition Inc. - Units,Normal,100,N,AACBU
AACG,XNAS,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Normal,100,N,AACG
AACI,XNAS,Armada Acquisition Corp. II - Class A Ordinary Shares,Normal,100,N,AACI
AACIU,XNAS,Armada Acquisition Corp. II - Units,Normal,100,N,AACIU
AACIW,XNAS,Armada Acquisition Corp. II - Warrant,Normal,100,N,AACIW
AADR,XNAS,AdvisorShares Dorsey Wright ADR ETF,Normal,100,Y,AADR
AAL,XNAS,"American Airlines Group, Inc. - Common Stock",Normal,100,N,AAL
AALG,XNAS,Leverage Shares 2X Long AAL Daily ETF,Normal,100,Y,AALG
AAME,XNAS,Atlantic American Corporation - Common Stock,Normal,100,N,AAME
AAOI,XNAS,"Applied Optoelectronics, Inc. - Common Stock",Normal,100,N,AAOI
AAON,XNAS,"AAON, Inc. - Common Stock",Normal,100,N,AAON
AAPB,XNAS,GraniteShares 2x Long AAPL Daily ETF,Normal,100,Y,AAPB
AAPD,XNAS,Direxion Daily AAPL Bear 1X Shares,Normal,100,Y,AAPD
AAPG,XNAS,Ascentage Pharma Group International - American Depository Shares,Normal,100,N,AAPG
AAPL,XNAS,Apple Inc. - Common Stock,Normal,100,N,AAPL
AAPU,XNAS,Direxion Daily AAPL Bull 2X Shares,Normal,100,Y,AAPU
AARD,XNAS,"Aardvark Therapeutics, Inc. - Common Stock",Normal,100,N,AARD
AAUS,XNAS,Alpha Architect US Equity ETF,Normal,100,Y,AAUS
