fp_symbol,exchange,fp_type,fp_name,fp_market_capital_1,fp_earnings_announcement,fp_shares_outstanding,standardized_symbol
AAACX,XNAS,FND,Alpha Alternative Assets Fund,0.0,,,AAACX
AABPX,XNAS,FND,American Beacon Balanced Fund,105149012.0,,8555656.0,AABPX
AADBX,XNAS,TRT,American Beacon Balanced Fund R5 Class,105149018.0,,6796963.0,AADBX
AADEX,XNAS,TRT,American Beacon Large Cap Value R5,3290246410.0,,114125786.0,AADEX
AAFTX,XNAS,FND,American Funds 2035 Target Date Retirement Fund,51907274318.0,,2456567644.0,AAFTX
AAGPX,XNAS,TRT,American Beacon Large Cap Value Fund Investor Class,3290829326.0,,133556385.0,AAGPX
AAGTX,XNAS,TRT,American Funds 2040 Target Date Retirement Fund Class A,48143171567.0,,2087735107.0,AAGTX
AAHTX,XNAS,TRT,American Funds 2045 Trgt Date Retire A,41984893350.0,,1758897920.0,AAHTX
AAIDX,XNAS,FND,Axonic Alternative Income Fund,0.0,,,AAIDX
AAIEX,XNAS,FND,American Beacon International Equity Fund,569135202.0,,30160848.0,AAIEX
AAIPX,XNAS,TRT,American Beacon International Equity Fund Investor Class,569083418.0,,30448551.0,AAIPX
AAISX,XNAS,TRT,American Beacon International Equity Fund Advisor Class,569014209.0,,29210175.0,AAISX
AALTX,XNAS,TRT,American Funds 2050 Trgt Date Retire A,37978358423.0,,1614039882.0,AALTX
AANTX,XNAS,FND,American Funds 2060 Target Date Retirement Fund,17285330523.0,,857407268.0,AANTX
AARTX,XNAS,TRT,Stone Ridge Trust VIII,0.0,,,AARTX
AASCX,XNAS,TRT,Thrivent Mid Cap Stock Fund Class A,3353135540.0,,108445522.0,AASCX
ABALX,XNAS,TRT,American Funds American Balanced Fund Class A,253703696004.0,,6756423329.0,ABALX
ABASX,XNAS,TRT,AB Discovery Value Fund Class A,2301044145.0,,106975553.0,ABASX
ABAT,XNAS,EQS,American Battery Technology Company Common Stock,254440725.0,2025-09-23T20:00:00.000+0000,92523900.0,ABAT
ABAX,XNAS,EQS,"Abaxis, Inc.",0.0,2018-03-31T00:00:00.000+0000,0.0,ABAX
