av_symbol,exchange,av_name,av_status,standardized_symbol
A,XNYS,Agilent Technologies Inc,Active,A
AA,XNYS,Alcoa Corp,Active,AA
AACBR,XNAS,Artius II Acquisition Inc Rights,Active,AACBR
AACBU,XNAS,Artius II Acquisition Inc - Units (1 Ord Shs & 1 Rts),Active,AACBU
AACG,XNAS,ATA Creativity Global,Active,AACG
AACI,XNAS,Armada Acquisition Corp II - Class A,Active,AACI
AACIU,XNAS,Armada Acquisition Corp II - Units (1 Ord Cls A & 1/2 War),Active,AACIU
AACIW,XNAS,Armada Acquisition Corp II - Warrants(21/05/2030),Active,AACIW
AACT,XNYS,Ares Acquisition Corporation II - Class A,Active,AACT
AACT-U,XNYS,Ares Acquisition Corporation II - Units (1 Ord Class A & 1/2 War),Active,AACTU
AACT-WS,XNYS,Ares Acquisition Corporation II - Warrants (01/01/9999),Active,AACTWS
AADR,XNAS,ADVISORSHARES DORSEY WRIGHT ADR ETF ,Active,AADR
AAL,XNAS,American Airlines Group Inc,Active,AAL
AALG,XNAS,Leverage Shares 2X Long AAL Daily ETF,Active,AALG
AAM,XNYS,AA Mission Acquisition Corp - Class A,Active,AAM
AAM-U,XNYS,AA Mission Acquisition Corp - Units (1 Ord Share Class A & 1/2 War),Active,AAMU
AAM-WS,XNYS,AA Mission Acquisition Corp Warrants each whole warrant entitles the holder to purchase one Class A ordinary share at a price of 11.50 per share,Active,AAMWS
AAME,XNAS,Atlantic American Corp,Active,AAME
AAMI,XNYS,BrightSphere Investment Group Inc,Active,AAMI
AAOI,XNAS,Applied Optoelectronics Inc,Active,AAOI
